u030_rct@eureka,10286
2015/05/06/13/17/10,43.638248,-72.258043,0.0
2015/05/06/13/32/59,43.638179,-72.258222,0.0
2015/05/06/13/49/05,43.63829,-72.258315,0.0
2015/05/06/14/04/05,43.638072,-72.25836,0.0
2015/05/06/14/19/06,43.638197,-72.258343,0.0
2015/05/06/14/34/06,43.638167,-72.258281,0.0
2015/05/06/14/50/59,43.638256,-72.258281,0.0
2015/05/06/15/06/55,43.638204,-72.258266,0.0
2015/05/06/15/21/59,43.638172,-72.258092,0.0
2015/05/06/15/37/15,43.638164,-72.25814,0.0
2015/05/06/15/52/15,43.638071,-72.258121,0.0
2015/05/06/16/09/03,43.638173,-72.258223,0.0
2015/05/06/16/25/12,43.638047,-72.25815,0.0
2015/05/06/16/40/14,43.638138,-72.258319,0.0
2015/05/06/16/56/02,43.638214,-72.258247,0.0
2015/05/06/17/11/02,43.637965,-72.258205,0.0
2015/05/06/17/26/03,43.638061,-72.25816,0.0
2015/05/06/17/42/03,43.638159,-72.258304,0.0
2015/05/06/17/59/01,43.638161,-72.258375,0.0
2015/05/06/18/15/04,43.638235,-72.258336,0.0
2015/05/06/18/30/59,43.63818,-72.258209,0.0
2015/05/06/18/45/59,43.63818,-72.25833,0.0
2015/05/06/19/00/58,43.638377,-72.257954,0.0
2015/05/06/19/15/59,43.638034,-72.258032,0.0
2015/05/06/19/30/59,43.638205,-72.258288,0.0
2015/05/06/19/46/01,43.638181,-72.258252,0.0
2015/05/06/20/01/58,43.63814,-72.258355,0.0
2015/05/06/20/19/01,43.637998,-72.258413,0.0
2015/05/06/20/34/01,43.638148,-72.258173,0.0
2015/05/06/20/50/59,43.637967,-72.258306,0.0
2015/05/06/21/06/59,43.638159,-72.25827,0.0
2015/05/06/21/24/03,43.638165,-72.258194,0.0
2015/05/06/21/40/59,43.638316,-72.258303,0.0
2015/05/06/21/55/59,43.638079,-72.258202,0.0
2015/05/06/22/13/18,43.638061,-72.258263,0.0
2015/05/06/22/30/59,43.638091,-72.258143,0.0
2015/05/06/22/47/00,43.638079,-72.258298,0.0
2015/05/06/23/04/01,43.638199,-72.258307,0.0
2015/05/06/23/19/01,43.638087,-72.258175,0.0
2015/05/06/23/37/02,43.638087,-72.258246,0.0
2015/05/06/23/54/01,43.638103,-72.258118,0.0
2015/05/07/00/09/01,43.638126,-72.258259,0.0
2015/05/07/00/27/02,43.638097,-72.258258,0.0
2015/05/07/00/43/19,43.638087,-72.258064,0.0
2015/05/07/01/00/18,43.638098,-72.258324,0.0
2015/05/07/01/16/59,43.63802,-72.258232,0.0
2015/05/07/01/34/25,43.638222,-72.258314,0.0
2015/05/07/01/50/23,43.638162,-72.258266,0.0
2015/05/07/02/05/25,43.638066,-72.258161,0.0
2015/05/07/02/20/25,43.638061,-72.258295,0.0
2015/05/07/02/35/25,43.638084,-72.258297,0.0
2015/05/07/02/50/26,43.638168,-72.25821,0.0
2015/05/07/03/06/23,43.638199,-72.258291,0.0
2015/05/07/03/21/29,43.638293,-72.258148,0.0
2015/05/07/03/39/02,43.638101,-72.258255,0.0
2015/05/07/03/54/01,43.638297,-72.258094,0.0
2015/05/07/04/09/01,43.638231,-72.258341,0.0
2015/05/07/04/27/05,43.638152,-72.258179,0.0
2015/05/07/04/42/02,43.63809,-72.258229,0.0
2015/05/07/04/57/06,43.638085,-72.25824,0.0
2015/05/07/05/12/53,43.638047,-72.258294,0.0
2015/05/07/05/29/04,43.638139,-72.258316,0.0
2015/05/07/05/44/01,43.638063,-72.258242,0.0
2015/05/07/06/00/59,43.638206,-72.258201,0.0
2015/05/07/06/15/59,43.63807,-72.258165,0.0
2015/05/07/06/30/59,43.638195,-72.258175,0.0
2015/05/07/06/45/59,43.638252,-72.25824,0.0
2015/05/07/07/00/59,43.638105,-72.258185,0.0
2015/05/07/07/15/57,43.638076,-72.258291,0.0
2015/05/07/07/31/00,43.638118,-72.258337,0.0
2015/05/07/07/46/04,43.638293,-72.258221,0.0
2015/05/07/08/01/06,43.638117,-72.258319,0.0
2015/05/07/08/16/06,43.638028,-72.258352,0.0
2015/05/07/09/15/49,43.6382,-72.258276,0.0
2015/07/17/09/08/53,40.751235,-73.709416,0.0
2015/07/17/09/26/53,40.751285,-73.7094,0.0
2015/07/17/09/51/51,40.751238,-73.709405,0.0
2015/09/08/13/13/54,40.751401,-73.708982,0.0
2015/09/08/13/28/57,40.751553,-73.716435,7.81
2015/09/08/13/43/56,40.728444,-73.811055,0.0
2015/09/08/13/59/03,40.729568,-73.815069,0.0
2015/09/08/14/14/31,40.728368,-73.810686,0.0
2015/09/08/14/29/06,40.728405,-73.810889,0.0
2015/09/08/14/44/06,40.728371,-73.810712,0.0
2015/09/08/15/01/13,40.728477,-73.810644,0.0
2015/09/08/15/16/13,40.728376,-73.810728,0.0
2015/09/08/15/31/13,40.728589,-73.810529,0.0
2015/09/08/15/46/15,40.728348,-73.810658,0.0
2015/09/08/16/01/14,40.728355,-73.810685,0.0
